JobTitle,JobCategory,Salary,Location,SkillsRequired,JobSummary
Corporate Finance Analyst,Finance and Business,£21000,Manchester,"['Financial Analysis', 'Quantitative Analysis', 'Budgeting']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Technical Support Engineer,Technology and Data,£34000,Nottingham,"['Django', 'Machine Learning', 'Big Data Technologies']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Financial Analyst,Finance and Business,£20000,Birmingham,"['Financial Reporting', 'Reporting', 'Analytical Skills']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Legal Assistant,Administrative,£32000,Newcastle,"['Office Management', 'Conflict Resolution', 'Leadership']",Provide administrative support to legal teams and assist with legal research and document preparation
Teacher,Administrative,£30000,Nottingham,"['Conflict Resolution', 'Communication', 'Leadership']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Electrical Engineer,Engineering and Science,£32000,Cambridge,"['Product Development', 'Problem Solving', 'Lab Techniques']",Design and implement electrical systems and components for working on projects involving power generation and electronics.
Teacher,Administrative,£25000,Newcastle,"['Organisational Skills', 'Communication', 'HR Information Systems']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Civil Engineer,Engineering and Science,£33000,Bristol,"['Project Management Software', 'Finite Element Analysis', 'Technical Writing']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Audit Associate,Finance and Business,£35000,Liverpool,"['Regulatory Compliance', 'Bookkeeping', 'Business Strategy']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Insurance Underwriter,Administrative,£25000,Bristol,"['Onboarding', 'Client Management', 'HR Information Systems']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Software Developer,Technology and Data,£26000,Sheffield,"['Cloud Computing', 'Data Visualisation', 'Big Data Technologies']","Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Systems Analyst,Technology and Data,£28000,London,"['Django', 'Python Programming', 'Data Analysis']",Evaluate and improve computer systems to enhance efficiency.
Business Analyst,Finance and Business,£22000,Manchester,"['Regulatory Compliance', 'Financial Analysis', 'Risk Assessment']",Identify business needs and develop solutions to enhance processes and operations.
Data Scientist,Technology and Data,£34000,Sheffield,"['Problem Solving', 'Data Visualisation', 'Version Control']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Systems Analyst,Technology and Data,£31000,Cambridge,"['Docker', 'Big Data Technologies', 'Data Warehousing']",Evaluate and improve computer systems to enhance efficiency.
Logistics Coordinator,Administrative,£21000,Leeds,"['Payroll Management', 'Leadership', 'Conflict Resolution']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Nurse,Administrative,£27000,Leeds,"['Employee Relations', 'Compliance Management', 'Conflict Resolution']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Electrical Engineer,Engineering and Science,£25000,Nottingham,"['Regulatory Compliance', 'Prototyping', 'Product Development']",Design and implement electrical systems and components for working on projects involving power generation and electronics.
Pharmaceutical Sales Representative,Engineering and Science,£21000,Sheffield,"['Data Analysis', 'Problem Solving', 'Finite Element Analysis']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Event Coordinator,Marketing and Creative,£34000,Manchester,"['Digital Marketing', 'Brand Strategy', 'SEO Optimisation']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Technical Support Engineer,Technology and Data,£23000,Manchester,"['Data Analysis', 'APIs', 'Version Control']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Sales Executive,Marketing and Creative,£25000,Birmingham,"['Adobe Creative Suite', 'Social Media Marketing', 'Market Research']",Must be able to develop and execute sales strategies to meet business objectives.
Product Designer,Marketing and Creative,£26000,Leeds,"['User Research', 'Analytics', 'Content Management Systems']","Design and develop new products, from concept to production. You will work on product specifications and testing."
Pharmaceutical Sales Representative,Engineering and Science,£22000,Liverpool,"['Technical Writing', 'Research Methodology', 'Simulation Software']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Risk Analyst,Finance and Business,£30000,Liverpool,"['Budgeting', 'Financial Reporting', 'Regulatory Compliance']",You must be able to identify and assess potential risks to the organisation.
IT Support Specialist,Technology and Data,£32000,Nottingham,"['Problem Solving', 'Data Warehousing', 'Data Analysis']",You will have to provide technical support and troubleshooting for hardware and software issues.
UI Designer,Technology and Data,£28000,Manchester,"['Big Data Technologies', 'Problem Solving', 'Docker']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Supply Chain Analyst,Finance and Business,£31000,Birmingham,"['Financial Modeling', 'Business Strategy', 'Risk Assessment']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Product Designer,Marketing and Creative,£34000,Leeds,"['Analytics', 'Graphic Design', 'Market Research']","Design and develop new products, from concept to production. You will work on product specifications and testing."
Engineering Graduate,Engineering and Science,£27000,Manchester,"['CAD Software', 'Research Methodology', 'Technical Writing']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Risk Analyst,Finance and Business,£23000,Leeds,"['Financial Reporting', 'Financial Modeling', 'Bookkeeping']",You must be able to identify and assess potential risks to the organisation.
Public Relations Officer,Marketing and Creative,£26000,Cambridge,"['PPC Advertising', 'Email Marketing', 'Brand Strategy']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Data Analyst,Technology and Data,£27000,Bristol,"['Data Visualisation', 'Machine Learning', 'Problem Solving']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Quantity Surveyor,Engineering and Science,£33000,Leeds,"['Simulation Software', 'Prototyping', 'Data Analysis']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Content Writer,Marketing and Creative,£23000,Manchester,"['Adobe Creative Suite', 'PPC Advertising', 'Social Media Marketing']","Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Data Analyst,Technology and Data,£20000,Nottingham,"['Django', 'APIs', 'Version Control']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Business Development Executive,Finance and Business,£25000,London,"['Financial Forecasting', 'Budgeting', 'Regulatory Compliance']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Logistics Coordinator,Administrative,£30000,Cambridge,"['Employee Relations', 'Organisational Skills', 'Training and Development']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Civil Engineer,Engineering and Science,£31000,Nottingham,"['CAD Software', 'Project Management Software', 'Statistical Analysis']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Social Media Manager,Marketing and Creative,£32000,London,"['Graphic Design', 'Content Creation', 'Digital Marketing']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Public Relations Officer,Marketing and Creative,£21000,Leeds,"['Email Marketing', 'Adobe Creative Suite', 'PPC Advertising']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Social Media Manager,Marketing and Creative,£26000,Manchester,"['Graphic Design', 'Google Analytics', 'Adobe Creative Suite']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Technical Support Engineer,Technology and Data,£31000,Leeds,"['Data Visualisation', 'Cloud Computing', 'Data Warehousing']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Business Development Executive,Finance and Business,£28000,Bristol,"['Excel', 'Risk Assessment', 'Financial Analysis']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Risk Analyst,Finance and Business,£31000,Nottingham,"['Budgeting', 'Financial Forecasting', 'Financial Modeling']",You must be able to identify and assess potential risks to the organisation.
Corporate Finance Analyst,Finance and Business,£27000,Newcastle,"['Risk Assessment', 'Financial Analysis', 'Reporting']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Financial Analyst,Finance and Business,£30000,Bristol,"['Quantitative Analysis', 'Project Management', 'Market Research']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Research Scientist,Engineering and Science,£21000,Nottingham,"['Finite Element Analysis', 'Product Development', 'Statistical Analysis']",Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Civil Engineer,Engineering and Science,£25000,London,"['CAD Software', 'Regulatory Compliance', 'Statistical Analysis']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Supply Chain Analyst,Finance and Business,£29000,Leeds,"['Reporting', 'Bookkeeping', 'Regulatory Compliance']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Pharmaceutical Sales Representative,Engineering and Science,£23000,Cambridge,"['Statistical Analysis', 'Engineering Design', 'Technical Writing']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Pharmaceutical Sales Representative,Engineering and Science,£27000,Liverpool,"['Product Development', 'Problem Solving', 'Engineering Design']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Operations Manager,Finance and Business,£28000,Bristol,"['Analytical Skills', 'Excel', 'Market Research']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Corporate Finance Analyst,Finance and Business,£23000,Liverpool,"['Reporting', 'Business Strategy', 'Regulatory Compliance']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Risk Analyst,Finance and Business,£30000,Newcastle,"['Financial Reporting', 'Quantitative Analysis', 'Reporting']",You must be able to identify and assess potential risks to the organisation.
Financial Analyst,Finance and Business,£25000,Newcastle,"['Business Strategy', 'Quantitative Analysis', 'Bookkeeping']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Research Scientist,Engineering and Science,£23000,Bristol,"['Engineering Design', 'Prototyping', 'Research Methodology']",Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Product Designer,Marketing and Creative,£31000,Nottingham,"['Content Creation', 'User Research', 'PPC Advertising']","Design and develop new products, from concept to production. You will work on product specifications and testing."
Pharmaceutical Sales Representative,Engineering and Science,£29000,Manchester,"['Finite Element Analysis', 'Engineering Design', 'Lab Techniques']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Corporate Finance Analyst,Finance and Business,£32000,Birmingham,"['Financial Analysis', 'Quantitative Analysis', 'Project Management']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Legal Assistant,Administrative,£21000,London,"['Payroll Management', 'Performance Appraisal Systems', 'Onboarding']",Provide administrative support to legal teams and assist with legal research and document preparation
Pharmaceutical Sales Representative,Engineering and Science,£21000,Leeds,"['Product Development', 'Research Methodology', 'Statistical Analysis']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Graphic Designer,Marketing and Creative,£34000,Cambridge,"['Google Analytics', 'Adobe Creative Suite', 'Email Marketing']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Logistics Coordinator,Administrative,£34000,Bristol,"['Employee Relations', 'Performance Appraisal Systems', 'Compliance Management']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Health and Safety Advisor,Engineering and Science,£30000,Manchester,"['Mechanical Design', 'Data Analysis', 'Finite Element Analysis']",Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Operations Manager,Finance and Business,£33000,Sheffield,"['Regulatory Compliance', 'Project Management', 'Risk Assessment']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Public Relations Officer,Marketing and Creative,£25000,Birmingham,"['Content Management Systems', 'SEO Optimisation', 'Market Research']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Mechanical Engineer,Engineering and Science,£20000,London,"['Engineering Design', 'Prototyping', 'Research Methodology']","Design machinery and equipment, and troubleshoot engineering issues."
Pharmaceutical Sales Representative,Engineering and Science,£24000,Leeds,"['Prototyping', 'Regulatory Compliance', 'Data Analysis']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Public Relations Officer,Marketing and Creative,£35000,Newcastle,"['Social Media Marketing', 'Graphic Design', 'Brand Strategy']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Corporate Finance Analyst,Finance and Business,£29000,London,"['Regulatory Compliance', 'Bookkeeping', 'Budgeting']","Support corporate finance activities including budgeting, forecasting, and financial planning."
UI Designer,Technology and Data,£27000,Leeds,"['Docker', 'ETL', 'Django']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Corporate Finance Analyst,Finance and Business,£23000,Newcastle,"['Bookkeeping', 'Analytical Skills', 'Budgeting']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Systems Analyst,Technology and Data,£33000,Liverpool,"['Problem Solving', 'Machine Learning', 'ETL']",Evaluate and improve computer systems to enhance efficiency.
Mechanical Engineer,Engineering and Science,£35000,Liverpool,"['CAD Software', 'Engineering Design', 'Statistical Analysis']","Design machinery and equipment, and troubleshoot engineering issues."
Supply Chain Analyst,Finance and Business,£34000,Bristol,"['Business Strategy', 'Risk Assessment', 'Market Research']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Supply Chain Analyst,Finance and Business,£30000,Newcastle,"['Reporting', 'Bookkeeping', 'Excel']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Business Analyst,Finance and Business,£23000,Liverpool,"['Financial Modeling', 'Bookkeeping', 'Budgeting']",Identify business needs and develop solutions to enhance processes and operations.
Technical Support Engineer,Technology and Data,£26000,Birmingham,"['Big Data Technologies', 'ETL', 'Django']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Customer Service Manager,Administrative,£31000,Cambridge,"['Payroll Management', 'Onboarding', 'Talent Acquisition']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Engineering Graduate,Engineering and Science,£33000,Birmingham,"['Technical Writing', 'Finite Element Analysis', 'Engineering Design']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Management Consultant,Administrative,£23000,Birmingham,"['Communication', 'Office Management', 'HR Information Systems']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Technical Support Engineer,Technology and Data,£21000,Bristol,"['Version Control', 'Cloud Computing', 'Python Programming']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Nurse,Administrative,£31000,Cambridge,"['Compliance Management', 'Onboarding', 'Performance Appraisal Systems']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Business Development Executive,Finance and Business,£33000,Sheffield,"['Business Strategy', 'Project Management', 'Financial Analysis']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Content Writer,Marketing and Creative,£34000,Leeds,"['Social Media Marketing', 'User Research', 'Analytics']","Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Investment Banking Analyst,Finance and Business,£33000,Leeds,"['Market Research', 'Financial Reporting', 'Bookkeeping']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Research Scientist,Engineering and Science,£22000,Manchester,"['Simulation Software', 'Research Methodology', 'CAD Software']",Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Electrical Engineer,Engineering and Science,£32000,Liverpool,"['Research Methodology', 'Engineering Design', 'Regulatory Compliance']",Design and implement electrical systems and components for working on projects involving power generation and electronics.
Quantity Surveyor,Engineering and Science,£22000,Leeds,"['Product Development', 'Technical Writing', 'Simulation Software']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Logistics Coordinator,Administrative,£26000,Nottingham,"['HR Information Systems', 'Onboarding', 'Recruitment']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Management Consultant,Administrative,£34000,Birmingham,"['Office Management', 'Talent Acquisition', 'Recruitment']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Risk Analyst,Finance and Business,£28000,Leeds,"['Financial Forecasting', 'Project Management', 'Financial Reporting']",You must be able to identify and assess potential risks to the organisation.
UI Designer,Technology and Data,£28000,London,"['JavaScript', 'Data Analysis', 'Machine Learning']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Data Scientist,Technology and Data,£35000,Bristol,"['Data Analysis', 'Docker', 'Django']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Corporate Finance Analyst,Finance and Business,£21000,Manchester,"['Business Strategy', 'Financial Reporting', 'Financial Modeling']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Management Consultant,Administrative,£23000,Liverpool,"['Conflict Resolution', 'HR Information Systems', 'Training and Development']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
IT Support Specialist,Technology and Data,£26000,Nottingham,"['SQL', 'Data Warehousing', 'Python Programming']",You will have to provide technical support and troubleshooting for hardware and software issues.
Pharmaceutical Sales Representative,Engineering and Science,£34000,Leeds,"['Engineering Design', 'Lab Techniques', 'Problem Solving']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Public Relations Officer,Marketing and Creative,£29000,Birmingham,"['SEO Optimisation', 'User Research', 'Brand Strategy']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
IT Support Specialist,Technology and Data,£34000,Sheffield,"['Data Warehousing', 'Big Data Technologies', 'ETL']",You will have to provide technical support and troubleshooting for hardware and software issues.
Graphic Designer,Marketing and Creative,£25000,London,"['Graphic Design', 'Social Media Marketing', 'Digital Marketing']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Public Relations Officer,Marketing and Creative,£33000,Nottingham,"['PPC Advertising', 'Adobe Creative Suite', 'Google Analytics']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Electrical Engineer,Engineering and Science,£29000,Liverpool,"['Regulatory Compliance', 'Data Analysis', 'Lab Techniques']",Design and implement electrical systems and components for working on projects involving power generation and electronics.
Public Relations Officer,Marketing and Creative,£26000,London,"['Adobe Creative Suite', 'Digital Marketing', 'Graphic Design']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Financial Analyst,Finance and Business,£34000,Birmingham,"['Bookkeeping', 'Financial Modeling', 'Quantitative Analysis']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Customer Service Manager,Administrative,£28000,Sheffield,"['Performance Appraisal Systems', 'Conflict Resolution', 'Payroll Management']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Audit Associate,Finance and Business,£21000,Sheffield,"['Budgeting', 'Project Management', 'Financial Reporting']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Business Development Executive,Finance and Business,£29000,Nottingham,"['Regulatory Compliance', 'Business Strategy', 'Analytical Skills']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Logistics Coordinator,Administrative,£20000,Birmingham,"['Office Management', 'Recruitment', 'Leadership']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Systems Analyst,Technology and Data,£21000,Cambridge,"['ETL', 'Data Analysis', 'Django']",Evaluate and improve computer systems to enhance efficiency.
Data Scientist,Technology and Data,£23000,Cambridge,"['Version Control', 'Data Analysis', 'Big Data Technologies']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Civil Engineer,Engineering and Science,£23000,Manchester,"['Project Management Software', 'Engineering Design', 'Statistical Analysis']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Recruitment Consultant,Administrative,£31000,Sheffield,"['HR Information Systems', 'Recruitment', 'Payroll Management']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Marketing Executive,Marketing and Creative,£21000,Birmingham,"['Google Analytics', 'Content Management Systems', 'Email Marketing']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Supply Chain Analyst,Finance and Business,£35000,Sheffield,"['Financial Forecasting', 'Business Strategy', 'Financial Modeling']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Graphic Designer,Marketing and Creative,£24000,London,"['Google Analytics', 'Email Marketing', 'User Research']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Systems Analyst,Technology and Data,£21000,Birmingham,"['Machine Learning', 'SQL', 'Big Data Technologies']",Evaluate and improve computer systems to enhance efficiency.
Business Analyst,Finance and Business,£34000,Sheffield,"['Budgeting', 'Business Strategy', 'Project Management']",Identify business needs and develop solutions to enhance processes and operations.
Customer Service Manager,Administrative,£24000,London,"['Office Management', 'Training and Development', 'Talent Acquisition']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Legal Assistant,Administrative,£33000,Liverpool,"['Payroll Management', 'Onboarding', 'Compliance Management']",Provide administrative support to legal teams and assist with legal research and document preparation
Nurse,Administrative,£25000,Birmingham,"['Office Management', 'Communication', 'Compliance Management']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Health and Safety Advisor,Engineering and Science,£24000,Newcastle,"['Finite Element Analysis', 'Research Methodology', 'Prototyping']",Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Business Analyst,Finance and Business,£27000,Bristol,"['Project Management', 'Analytical Skills', 'Business Strategy']",Identify business needs and develop solutions to enhance processes and operations.
Supply Chain Analyst,Finance and Business,£21000,Birmingham,"['Financial Analysis', 'Financial Reporting', 'Business Strategy']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Human Resources Assistant,Administrative,£27000,London,"['Performance Appraisal Systems', 'Training and Development', 'Communication']","Support HR functions including recruitment, employee relations, and record-keeping."
Systems Analyst,Technology and Data,£26000,Nottingham,"['Python Programming', 'Version Control', 'Big Data Technologies']",Evaluate and improve computer systems to enhance efficiency.
Business Development Executive,Finance and Business,£24000,Bristol,"['Analytical Skills', 'Reporting', 'Bookkeeping']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Software Developer,Technology and Data,£28000,Manchester,"['Docker', 'Data Visualisation', 'Python Programming']","Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Legal Assistant,Administrative,£26000,Birmingham,"['Performance Appraisal Systems', 'HR Information Systems', 'Client Management']",Provide administrative support to legal teams and assist with legal research and document preparation
Software Developer,Technology and Data,£34000,Bristol,"['Docker', 'Machine Learning', 'Data Warehousing']","Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Civil Engineer,Engineering and Science,£32000,Manchester,"['Mechanical Design', 'CAD Software', 'Prototyping']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Web Developer,Technology and Data,£26000,Manchester,"['APIs', 'Python Programming', 'Cloud Computing']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Insurance Underwriter,Administrative,£20000,Leeds,"['Talent Acquisition', 'Training and Development', 'Office Management']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Marketing Executive,Marketing and Creative,£23000,Manchester,"['Content Management Systems', 'Brand Strategy', 'User Research']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Corporate Finance Analyst,Finance and Business,£26000,Leeds,"['Project Management', 'Excel', 'Bookkeeping']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Digital Marketing Specialist,Marketing and Creative,£31000,Birmingham,"['Content Creation', 'Adobe Creative Suite', 'Email Marketing']","Implement digital marketing strategies, including SEO, PPC, and social media."
Research Scientist,Engineering and Science,£24000,Newcastle,"['Simulation Software', 'Research Methodology', 'Technical Writing']",Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Recruitment Consultant,Administrative,£21000,Nottingham,"['Onboarding', 'Compliance Management', 'Talent Acquisition']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
