JobTitle,JobCategory,Salary,Location,SkillsRequired,StartDate,JobSummary
Data Scientist,Technology and Data,£29000,Bristol,"['Version Control', 'Problem Solving', 'Data Visualisation']",2024-11-02,Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Quantity Surveyor,Engineering and Science,£25000,Liverpool,"['Data Analysis', 'Statistical Analysis', 'Technical Writing']",2025-04-23,"Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Insurance Underwriter,Administrative,£26000,Nottingham,"['Client Management', 'Payroll Management', 'Employee Relations']",2024-10-01,Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Biomedical Scientist,Engineering and Science,£32000,Nottingham,"['Research Methodology', 'Project Management Software', 'CAD Software']",2025-06-11,Conduct research and analyse biological samples to support medical and clinical studies.
Audit Associate,Finance and Business,£22000,Sheffield,"['Financial Modeling', 'Analytical Skills', 'Bookkeeping']",2024-10-27,Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Insurance Underwriter,Administrative,£27000,Birmingham,"['Performance Appraisal Systems', 'Leadership', 'Onboarding']",2025-07-01,Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Nurse,Administrative,£32000,Birmingham,"['Payroll Management', 'Performance Appraisal Systems', 'Conflict Resolution']",2025-07-24,"Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
IT Support Specialist,Technology and Data,£22000,Leeds,"['Data Visualisation', 'Problem Solving', 'SQL']",2025-02-22,You will have to provide technical support and troubleshooting for hardware and software issues.
Technical Support Engineer,Technology and Data,£33000,London,"['Version Control', 'Data Analysis', 'Data Visualisation']",2025-02-11,"You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Content Writer,Marketing and Creative,£33000,Bristol,"['Market Research', 'Social Media Marketing', 'User Research']",2025-02-02,"Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Quantity Surveyor,Engineering and Science,£31000,Bristol,"['Regulatory Compliance', 'Product Development', 'Mechanical Design']",2025-08-06,"Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Social Media Manager,Marketing and Creative,£22000,London,"['Email Marketing', 'Campaign Management', 'Content Management Systems']",2025-04-03,"Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Web Developer,Technology and Data,£32000,Sheffield,"['Data Analysis', 'Machine Learning', 'Data Warehousing']",2024-11-05,"Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Corporate Finance Analyst,Finance and Business,£29000,Bristol,"['Financial Analysis', 'Risk Assessment', 'Market Research']",2024-10-30,"Support corporate finance activities including budgeting, forecasting, and financial planning."
Sales Executive,Marketing and Creative,£27000,London,"['Market Research', 'PPC Advertising', 'Content Creation']",2025-01-12,Must be able to develop and execute sales strategies to meet business objectives.
Public Relations Officer,Marketing and Creative,£30000,Leeds,"['Brand Strategy', 'Google Analytics', 'Social Media Marketing']",2024-09-07,Manage public relations activities to promote and protect the organisation's image with varying strategies.
Human Resources Assistant,Administrative,£23000,Birmingham,"['Recruitment', 'Client Management', 'Organisational Skills']",2025-05-12,"Support HR functions including recruitment, employee relations, and record-keeping."
Engineering Graduate,Engineering and Science,£26000,Leeds,"['Statistical Analysis', 'Data Analysis', 'CAD Software']",2025-07-11,Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Risk Analyst,Finance and Business,£20000,Cambridge,"['Analytical Skills', 'Financial Forecasting', 'Quantitative Analysis']",2025-03-30,You must be able to identify and assess potential risks to the organisation.
Risk Analyst,Finance and Business,£32000,Newcastle,"['Financial Reporting', 'Project Management', 'Analytical Skills']",2024-12-20,You must be able to identify and assess potential risks to the organisation.
Insurance Underwriter,Administrative,£34000,Cambridge,"['Leadership', 'Conflict Resolution', 'Compliance Management']",2025-01-25,Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Sales Executive,Marketing and Creative,£25000,Manchester,"['Email Marketing', 'Google Analytics', 'Analytics']",2024-10-13,Must be able to develop and execute sales strategies to meet business objectives.
Public Relations Officer,Marketing and Creative,£25000,Leeds,"['Graphic Design', 'Content Creation', 'PPC Advertising']",2025-07-17,Manage public relations activities to promote and protect the organisation's image with varying strategies.
Biomedical Scientist,Engineering and Science,£21000,Manchester,"['Statistical Analysis', 'Product Development', 'Engineering Design']",2025-03-29,Conduct research and analyse biological samples to support medical and clinical studies.
Product Designer,Marketing and Creative,£30000,Cambridge,"['User Research', 'SEO Optimisation', 'Content Management Systems']",2025-01-04,"Design and develop new products, from concept to production. You will work on product specifications and testing."
Electrical Engineer,Engineering and Science,£27000,London,"['Product Development', 'Statistical Analysis', 'Regulatory Compliance']",2024-10-31,Design and implement electrical systems and components for working on projects involving power generation and electronics.
Mechanical Engineer,Engineering and Science,£21000,Liverpool,"['Problem Solving', 'Product Development', 'Engineering Design']",2025-03-09,"Design machinery and equipment, and troubleshoot engineering issues."
Supply Chain Analyst,Finance and Business,£31000,London,"['Regulatory Compliance', 'Project Management', 'Bookkeeping']",2025-04-16,You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Pharmaceutical Sales Representative,Engineering and Science,£30000,Bristol,"['Engineering Design', 'Finite Element Analysis', 'Product Development']",2025-06-05,Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Data Scientist,Technology and Data,£22000,Liverpool,"['Django', 'Big Data Technologies', 'Docker']",2024-09-20,Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Sales Executive,Marketing and Creative,£23000,Leeds,"['Adobe Creative Suite', 'Google Analytics', 'Content Creation']",2024-10-16,Must be able to develop and execute sales strategies to meet business objectives.
Web Developer,Technology and Data,£34000,Birmingham,"['Data Analysis', 'Machine Learning', 'Version Control']",2025-01-17,"Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
IT Support Specialist,Technology and Data,£27000,Leeds,"['Docker', 'Django', 'Cloud Computing']",2024-12-27,You will have to provide technical support and troubleshooting for hardware and software issues.
Systems Analyst,Technology and Data,£24000,Cambridge,"['Problem Solving', 'ETL', 'Machine Learning']",2025-06-02,Evaluate and improve computer systems to enhance efficiency.
Sales Executive,Marketing and Creative,£24000,Newcastle,"['Google Analytics', 'Graphic Design', 'Market Research']",2024-09-29,Must be able to develop and execute sales strategies to meet business objectives.
Data Analyst,Technology and Data,£29000,Cambridge,"['APIs', 'Data Warehousing', 'Big Data Technologies']",2025-02-15,"Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Recruitment Consultant,Administrative,£32000,Bristol,"['Office Management', 'Recruitment', 'Conflict Resolution']",2025-05-14,"Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Health and Safety Advisor,Engineering and Science,£34000,Birmingham,"['Data Analysis', 'Simulation Software', 'Product Development']",2025-01-05,Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Graphic Designer,Marketing and Creative,£34000,Manchester,"['Digital Marketing', 'Social Media Marketing', 'Google Analytics']",2024-12-17,Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Software Developer,Technology and Data,£21000,Leeds,"['Data Warehousing', 'Docker', 'Python Programming']",2024-11-23,"Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Insurance Underwriter,Administrative,£24000,Nottingham,"['Communication', 'Recruitment', 'Conflict Resolution']",2025-08-28,Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Digital Marketing Specialist,Marketing and Creative,£32000,Birmingham,"['Analytics', 'Google Analytics', 'Social Media Marketing']",2025-01-26,"Implement digital marketing strategies, including SEO, PPC, and social media."
Corporate Finance Analyst,Finance and Business,£25000,Cambridge,"['Financial Reporting', 'Business Strategy', 'Risk Assessment']",2025-04-17,"Support corporate finance activities including budgeting, forecasting, and financial planning."
Pharmaceutical Sales Representative,Engineering and Science,£28000,Liverpool,"['Research Methodology', 'Statistical Analysis', 'Regulatory Compliance']",2025-01-07,Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Audit Associate,Finance and Business,£30000,Manchester,"['Project Management', 'Analytical Skills', 'Financial Reporting']",2025-01-16,Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Biomedical Scientist,Engineering and Science,£35000,Sheffield,"['Regulatory Compliance', 'Simulation Software', 'CAD Software']",2025-08-14,Conduct research and analyse biological samples to support medical and clinical studies.
Event Coordinator,Marketing and Creative,£24000,Newcastle,"['PPC Advertising', 'Content Management Systems', 'User Research']",2025-02-27,"Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Content Writer,Marketing and Creative,£26000,Nottingham,"['Content Management Systems', 'Content Creation', 'Campaign Management']",2025-05-10,"Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Data Scientist,Technology and Data,£28000,Nottingham,"['Cloud Computing', 'Big Data Technologies', 'Python Programming']",2025-09-18,Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Civil Engineer,Engineering and Science,£25000,Bristol,"['Finite Element Analysis', 'Engineering Design', 'Lab Techniques']",2025-09-26,"Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Pharmaceutical Sales Representative,Engineering and Science,£28000,Liverpool,"['Prototyping', 'Project Management Software', 'Research Methodology']",2024-11-28,Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Business Analyst,Finance and Business,£29000,Sheffield,"['Reporting', 'Business Strategy', 'Regulatory Compliance']",2025-06-11,Identify business needs and develop solutions to enhance processes and operations.
Audit Associate,Finance and Business,£23000,Leeds,"['Market Research', 'Project Management', 'Financial Analysis']",2024-11-16,Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Human Resources Assistant,Administrative,£35000,Bristol,"['Organisational Skills', 'Office Management', 'Training and Development']",2024-11-12,"Support HR functions including recruitment, employee relations, and record-keeping."
Product Designer,Marketing and Creative,£24000,Leeds,"['Content Creation', 'PPC Advertising', 'Market Research']",2025-08-25,"Design and develop new products, from concept to production. You will work on product specifications and testing."
Human Resources Assistant,Administrative,£26000,Birmingham,"['Onboarding', 'Client Management', 'Performance Appraisal Systems']",2024-12-11,"Support HR functions including recruitment, employee relations, and record-keeping."
Business Development Executive,Finance and Business,£32000,Bristol,"['Bookkeeping', 'Financial Reporting', 'Regulatory Compliance']",2025-05-04,"Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Nurse,Administrative,£27000,Nottingham,"['Client Management', 'Talent Acquisition', 'Recruitment']",2025-03-21,"Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Marketing Executive,Marketing and Creative,£26000,London,"['Graphic Design', 'Digital Marketing', 'Brand Strategy']",2025-05-23,"Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Legal Assistant,Administrative,£29000,Leeds,"['Client Management', 'Onboarding', 'Performance Appraisal Systems']",2025-08-30,Provide administrative support to legal teams and assist with legal research and document preparation
Audit Associate,Finance and Business,£26000,Sheffield,"['Financial Forecasting', 'Budgeting', 'Risk Assessment']",2025-05-07,Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Quantity Surveyor,Engineering and Science,£33000,Leeds,"['CAD Software', 'Product Development', 'Regulatory Compliance']",2025-03-13,"Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Audit Associate,Finance and Business,£24000,Sheffield,"['Budgeting', 'Risk Assessment', 'Financial Modeling']",2025-07-10,Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Graphic Designer,Marketing and Creative,£31000,Manchester,"['Campaign Management', 'Graphic Design', 'SEO Optimisation']",2025-01-21,Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Audit Associate,Finance and Business,£25000,Cambridge,"['Analytical Skills', 'Budgeting', 'Bookkeeping']",2025-09-16,Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Human Resources Assistant,Administrative,£30000,Birmingham,"['Office Management', 'Communication', 'Compliance Management']",2024-09-22,"Support HR functions including recruitment, employee relations, and record-keeping."
Logistics Coordinator,Administrative,£20000,Manchester,"['Client Management', 'Payroll Management', 'Conflict Resolution']",2024-11-17,Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Insurance Underwriter,Administrative,£25000,Bristol,"['Talent Acquisition', 'Employee Relations', 'Onboarding']",2025-04-14,Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Recruitment Consultant,Administrative,£29000,Nottingham,"['Onboarding', 'Employee Relations', 'Training and Development']",2025-07-06,"Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Marketing Executive,Marketing and Creative,£30000,Nottingham,"['Brand Strategy', 'Campaign Management', 'Graphic Design']",2024-10-22,"Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Teacher,Administrative,£35000,Liverpool,"['HR Information Systems', 'Office Management', 'Employee Relations']",2025-03-07,"Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Quantity Surveyor,Engineering and Science,£21000,Bristol,"['Research Methodology', 'Problem Solving', 'Regulatory Compliance']",2025-07-07,"Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Technical Support Engineer,Technology and Data,£31000,Leeds,"['ETL', 'Version Control', 'Data Analysis']",2024-09-07,"You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Software Developer,Technology and Data,£22000,Liverpool,"['Docker', 'APIs', 'Data Analysis']",2025-01-02,"Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Electrical Engineer,Engineering and Science,£35000,Leeds,"['Statistical Analysis', 'Regulatory Compliance', 'Finite Element Analysis']",2025-01-13,Design and implement electrical systems and components for working on projects involving power generation and electronics.
Sales Executive,Marketing and Creative,£20000,Liverpool,"['Brand Strategy', 'Google Analytics', 'Market Research']",2025-02-03,Must be able to develop and execute sales strategies to meet business objectives.
Nurse,Administrative,£23000,Bristol,"['Employee Relations', 'Conflict Resolution', 'Client Management']",2024-12-19,"Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Content Writer,Marketing and Creative,£34000,Birmingham,"['Content Creation', 'PPC Advertising', 'Graphic Design']",2025-09-27,"Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Biomedical Scientist,Engineering and Science,£26000,Sheffield,"['Product Development', 'Data Analysis', 'Simulation Software']",2025-08-18,Conduct research and analyse biological samples to support medical and clinical studies.
Graphic Designer,Marketing and Creative,£21000,Bristol,"['PPC Advertising', 'Graphic Design', 'User Research']",2024-09-05,Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Electrical Engineer,Engineering and Science,£22000,Manchester,"['Engineering Design', 'Regulatory Compliance', 'Project Management Software']",2025-09-13,Design and implement electrical systems and components for working on projects involving power generation and electronics.
Data Analyst,Technology and Data,£28000,Sheffield,"['APIs', 'Problem Solving', 'Django']",2024-10-12,"Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Software Developer,Technology and Data,£21000,Manchester,"['Data Analysis', 'Version Control', 'JavaScript']",2025-08-26,"Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Digital Marketing Specialist,Marketing and Creative,£23000,London,"['Campaign Management', 'PPC Advertising', 'Content Creation']",2025-03-30,"Implement digital marketing strategies, including SEO, PPC, and social media."
Quantity Surveyor,Engineering and Science,£24000,Liverpool,"['CAD Software', 'Prototyping', 'Data Analysis']",2025-04-20,"Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Customer Service Manager,Administrative,£23000,Bristol,"['Client Management', 'Employee Relations', 'HR Information Systems']",2025-06-12,Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
IT Support Specialist,Technology and Data,£34000,Liverpool,"['ETL', 'APIs', 'Data Warehousing']",2025-04-18,You will have to provide technical support and troubleshooting for hardware and software issues.
Teacher,Administrative,£32000,Liverpool,"['Client Management', 'Talent Acquisition', 'Performance Appraisal Systems']",2024-12-26,"Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Supply Chain Analyst,Finance and Business,£29000,Manchester,"['Budgeting', 'Risk Assessment', 'Quantitative Analysis']",2024-10-12,You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Operations Manager,Finance and Business,£27000,Sheffield,"['Business Strategy', 'Bookkeeping', 'Financial Reporting']",2025-06-15,"Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Graphic Designer,Marketing and Creative,£29000,London,"['Email Marketing', 'Brand Strategy', 'Social Media Marketing']",2025-05-03,Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Pharmaceutical Sales Representative,Engineering and Science,£33000,Birmingham,"['Engineering Design', 'Lab Techniques', 'Product Development']",2024-11-02,Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Customer Service Manager,Administrative,£31000,Nottingham,"['Communication', 'Talent Acquisition', 'Conflict Resolution']",2024-09-14,Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Business Development Executive,Finance and Business,£26000,Bristol,"['Financial Forecasting', 'Bookkeeping', 'Financial Modeling']",2024-09-09,"Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Recruitment Consultant,Administrative,£29000,Cambridge,"['Compliance Management', 'Talent Acquisition', 'Recruitment']",2025-02-02,"Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Customer Service Manager,Administrative,£27000,Newcastle,"['Performance Appraisal Systems', 'Leadership', 'HR Information Systems']",2025-08-10,Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Financial Analyst,Finance and Business,£24000,Nottingham,"['Regulatory Compliance', 'Risk Assessment', 'Quantitative Analysis']",2025-02-17,"Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Public Relations Officer,Marketing and Creative,£23000,Cambridge,"['PPC Advertising', 'Google Analytics', 'Brand Strategy']",2024-11-10,Manage public relations activities to promote and protect the organisation's image with varying strategies.
IT Support Specialist,Technology and Data,£31000,Sheffield,"['Data Analysis', 'Machine Learning', 'Big Data Technologies']",2025-07-27,You will have to provide technical support and troubleshooting for hardware and software issues.
Technical Support Engineer,Technology and Data,£30000,Birmingham,"['Machine Learning', 'Data Warehousing', 'APIs']",2025-02-11,"You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Product Designer,Marketing and Creative,£23000,Bristol,"['Digital Marketing', 'Email Marketing', 'User Research']",2025-07-13,"Design and develop new products, from concept to production. You will work on product specifications and testing."
Technical Support Engineer,Technology and Data,£29000,Liverpool,"['Machine Learning', 'Python Programming', 'Django']",2024-11-07,"You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Sales Executive,Marketing and Creative,£35000,Bristol,"['Content Management Systems', 'Graphic Design', 'Market Research']",2025-08-14,Must be able to develop and execute sales strategies to meet business objectives.
Financial Analyst,Finance and Business,£22000,Manchester,"['Analytical Skills', 'Risk Assessment', 'Bookkeeping']",2025-07-20,"Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Product Designer,Marketing and Creative,£24000,Manchester,"['PPC Advertising', 'Email Marketing', 'Graphic Design']",2025-06-21,"Design and develop new products, from concept to production. You will work on product specifications and testing."
Product Designer,Marketing and Creative,£32000,Sheffield,"['Content Creation', 'PPC Advertising', 'SEO Optimisation']",2025-06-03,"Design and develop new products, from concept to production. You will work on product specifications and testing."
Systems Analyst,Technology and Data,£24000,Birmingham,"['Big Data Technologies', 'Data Visualisation', 'Version Control']",2025-07-05,Evaluate and improve computer systems to enhance efficiency.
Web Developer,Technology and Data,£32000,London,"['Data Analysis', 'Django', 'ETL']",2025-09-02,"Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Risk Analyst,Finance and Business,£25000,Nottingham,"['Financial Modeling', 'Excel', 'Financial Analysis']",2025-07-01,You must be able to identify and assess potential risks to the organisation.
Logistics Coordinator,Administrative,£23000,London,"['Talent Acquisition', 'Communication', 'Performance Appraisal Systems']",2025-02-20,Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Biomedical Scientist,Engineering and Science,£27000,Birmingham,"['Statistical Analysis', 'Research Methodology', 'Engineering Design']",2025-04-17,Conduct research and analyse biological samples to support medical and clinical studies.
UI Designer,Technology and Data,£30000,Birmingham,"['Data Visualisation', 'Data Analysis', 'APIs']",2024-09-08,"Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Systems Analyst,Technology and Data,£23000,Sheffield,"['Docker', 'Problem Solving', 'Django']",2025-06-24,Evaluate and improve computer systems to enhance efficiency.
Engineering Graduate,Engineering and Science,£26000,Manchester,"['Technical Writing', 'Regulatory Compliance', 'Problem Solving']",2024-12-14,Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Software Developer,Technology and Data,£22000,Leeds,"['Version Control', 'JavaScript', 'Data Warehousing']",2025-06-24,"Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
IT Support Specialist,Technology and Data,£30000,Bristol,"['Version Control', 'Data Visualisation', 'Cloud Computing']",2025-06-13,You will have to provide technical support and troubleshooting for hardware and software issues.
Biomedical Scientist,Engineering and Science,£30000,Liverpool,"['Finite Element Analysis', 'Data Analysis', 'Prototyping']",2025-07-10,Conduct research and analyse biological samples to support medical and clinical studies.
Event Coordinator,Marketing and Creative,£29000,Leeds,"['Brand Strategy', 'Market Research', 'PPC Advertising']",2025-04-25,"Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Business Analyst,Finance and Business,£33000,Newcastle,"['Regulatory Compliance', 'Financial Analysis', 'Project Management']",2024-12-06,Identify business needs and develop solutions to enhance processes and operations.
Systems Analyst,Technology and Data,£28000,Cambridge,"['JavaScript', 'Data Analysis', 'APIs']",2024-11-03,Evaluate and improve computer systems to enhance efficiency.
Engineering Graduate,Engineering and Science,£34000,London,"['Simulation Software', 'Regulatory Compliance', 'Finite Element Analysis']",2025-01-16,Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Marketing Executive,Marketing and Creative,£21000,Cambridge,"['PPC Advertising', 'Graphic Design', 'Analytics']",2025-07-02,"Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Sales Executive,Marketing and Creative,£26000,Nottingham,"['Social Media Marketing', 'Content Management Systems', 'Brand Strategy']",2025-08-08,Must be able to develop and execute sales strategies to meet business objectives.
Quantity Surveyor,Engineering and Science,£32000,Newcastle,"['Prototyping', 'Finite Element Analysis', 'Engineering Design']",2025-06-17,"Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Customer Service Manager,Administrative,£24000,Liverpool,"['Office Management', 'Training and Development', 'Onboarding']",2024-11-17,Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Marketing Executive,Marketing and Creative,£23000,Sheffield,"['Analytics', 'Email Marketing', 'Google Analytics']",2025-03-20,"Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Nurse,Administrative,£24000,Liverpool,"['Onboarding', 'Compliance Management', 'HR Information Systems']",2025-09-12,"Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Data Analyst,Technology and Data,£21000,Bristol,"['Data Visualisation', 'JavaScript', 'Cloud Computing']",2024-11-18,"Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Content Writer,Marketing and Creative,£25000,Sheffield,"['Adobe Creative Suite', 'Campaign Management', 'Google Analytics']",2025-01-29,"Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Marketing Executive,Marketing and Creative,£28000,Cambridge,"['User Research', 'Adobe Creative Suite', 'Digital Marketing']",2025-08-01,"Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Human Resources Assistant,Administrative,£24000,Manchester,"['Client Management', 'Organisational Skills', 'Performance Appraisal Systems']",2024-11-23,"Support HR functions including recruitment, employee relations, and record-keeping."
Engineering Graduate,Engineering and Science,£30000,London,"['Research Methodology', 'Product Development', 'Statistical Analysis']",2025-04-12,Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
UI Designer,Technology and Data,£25000,Cambridge,"['JavaScript', 'Data Visualisation', 'Python Programming']",2025-07-26,"Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
