JobTitle,JobCategory,Salary,Location,SkillsRequired,JobSummary
Insurance Underwriter,Administrative,£33000,Manchester,"['Payroll Management', 'Onboarding', 'Recruitment']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Sales Executive,Marketing and Creative,£35000,Liverpool,"['Market Research', 'Graphic Design', 'Adobe Creative Suite']",Must be able to develop and execute sales strategies to meet business objectives.
Financial Analyst,Finance and Business,£21000,Leeds,"['Risk Assessment', 'Business Strategy', 'Financial Modeling']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Content Writer,Marketing and Creative,£20000,Sheffield,"['Brand Strategy', 'User Research', 'Email Marketing']","Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Pharmaceutical Sales Representative,Engineering and Science,£32000,Leeds,"['Problem Solving', 'CAD Software', 'Project Management Software']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Audit Associate,Finance and Business,£25000,Newcastle,"['Analytical Skills', 'Budgeting', 'Financial Reporting']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Audit Associate,Finance and Business,£29000,Sheffield,"['Excel', 'Reporting', 'Business Strategy']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Data Analyst,Technology and Data,£33000,Cambridge,"['Problem Solving', 'ETL', 'Python Programming']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Customer Service Manager,Administrative,£27000,London,"['Employee Relations', 'Payroll Management', 'Onboarding']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Recruitment Consultant,Administrative,£24000,Sheffield,"['Training and Development', 'Compliance Management', 'Payroll Management']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Teacher,Administrative,£20000,Newcastle,"['Organisational Skills', 'Conflict Resolution', 'Performance Appraisal Systems']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Marketing Executive,Marketing and Creative,£24000,Leeds,"['Google Analytics', 'Adobe Creative Suite', 'Digital Marketing']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
UI Designer,Technology and Data,£30000,Sheffield,"['ETL', 'Problem Solving', 'SQL']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Engineering Graduate,Engineering and Science,£28000,Leeds,"['Data Analysis', 'Finite Element Analysis', 'Project Management Software']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Marketing Executive,Marketing and Creative,£24000,Bristol,"['Content Management Systems', 'Graphic Design', 'Google Analytics']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Recruitment Consultant,Administrative,£24000,Nottingham,"['Onboarding', 'Conflict Resolution', 'Payroll Management']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Teacher,Administrative,£21000,Leeds,"['Leadership', 'Payroll Management', 'Employee Relations']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Business Development Executive,Finance and Business,£29000,Birmingham,"['Business Strategy', 'Risk Assessment', 'Financial Forecasting']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Software Developer,Technology and Data,£33000,Bristol,"['Machine Learning', 'Python Programming', 'Big Data Technologies']","Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Research Scientist,Engineering and Science,£33000,Cambridge,"['Research Methodology', 'Simulation Software', 'Technical Writing']",Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Nurse,Administrative,£25000,Bristol,"['Performance Appraisal Systems', 'Employee Relations', 'Talent Acquisition']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Research Scientist,Engineering and Science,£27000,Cambridge,"['Project Management Software', 'Technical Writing', 'Engineering Design']",Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Operations Manager,Finance and Business,£32000,Nottingham,"['Financial Modeling', 'Market Research', 'Budgeting']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Software Developer,Technology and Data,£33000,Newcastle,"['Django', 'Data Visualisation', 'Docker']","Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Data Scientist,Technology and Data,£30000,London,"['JavaScript', 'SQL', 'Problem Solving']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Sales Executive,Marketing and Creative,£26000,Newcastle,"['SEO Optimisation', 'Content Management Systems', 'Adobe Creative Suite']",Must be able to develop and execute sales strategies to meet business objectives.
Pharmaceutical Sales Representative,Engineering and Science,£29000,Liverpool,"['Mechanical Design', 'Problem Solving', 'Lab Techniques']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Data Scientist,Technology and Data,£32000,Cambridge,"['Python Programming', 'Problem Solving', 'Django']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Data Analyst,Technology and Data,£21000,Leeds,"['Python Programming', 'Big Data Technologies', 'Version Control']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Graphic Designer,Marketing and Creative,£31000,Nottingham,"['User Research', 'PPC Advertising', 'Social Media Marketing']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Business Analyst,Finance and Business,£34000,Birmingham,"['Financial Forecasting', 'Bookkeeping', 'Reporting']",Identify business needs and develop solutions to enhance processes and operations.
Insurance Underwriter,Administrative,£27000,Cambridge,"['Leadership', 'Payroll Management', 'Communication']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Marketing Executive,Marketing and Creative,£27000,Sheffield,"['Campaign Management', 'Content Management Systems', 'Graphic Design']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Digital Marketing Specialist,Marketing and Creative,£29000,Nottingham,"['Adobe Creative Suite', 'Content Creation', 'Campaign Management']","Implement digital marketing strategies, including SEO, PPC, and social media."
Business Analyst,Finance and Business,£21000,Manchester,"['Financial Reporting', 'Market Research', 'Bookkeeping']",Identify business needs and develop solutions to enhance processes and operations.
Pharmaceutical Sales Representative,Engineering and Science,£29000,Sheffield,"['Product Development', 'Simulation Software', 'Regulatory Compliance']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Data Analyst,Technology and Data,£30000,Manchester,"['Django', 'SQL', 'Big Data Technologies']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Customer Service Manager,Administrative,£22000,Birmingham,"['Client Management', 'Communication', 'Recruitment']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Logistics Coordinator,Administrative,£22000,Sheffield,"['Training and Development', 'HR Information Systems', 'Organisational Skills']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Legal Assistant,Administrative,£20000,Newcastle,"['Recruitment', 'Office Management', 'Talent Acquisition']",Provide administrative support to legal teams and assist with legal research and document preparation
Data Analyst,Technology and Data,£31000,Sheffield,"['Data Visualisation', 'Big Data Technologies', 'SQL']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Electrical Engineer,Engineering and Science,£26000,Newcastle,"['Engineering Design', 'Finite Element Analysis', 'Regulatory Compliance']",Design and implement electrical systems and components for working on projects involving power generation and electronics.
Quantity Surveyor,Engineering and Science,£32000,Cambridge,"['Project Management Software', 'Regulatory Compliance', 'Data Analysis']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
IT Support Specialist,Technology and Data,£26000,Cambridge,"['Data Warehousing', 'ETL', 'APIs']",You will have to provide technical support and troubleshooting for hardware and software issues.
Content Writer,Marketing and Creative,£23000,Newcastle,"['Adobe Creative Suite', 'Social Media Marketing', 'User Research']","Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Mechanical Engineer,Engineering and Science,£21000,London,"['Data Analysis', 'Finite Element Analysis', 'Problem Solving']","Design machinery and equipment, and troubleshoot engineering issues."
Financial Analyst,Finance and Business,£22000,Sheffield,"['Financial Analysis', 'Market Research', 'Business Strategy']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Public Relations Officer,Marketing and Creative,£34000,Cambridge,"['Graphic Design', 'Market Research', 'User Research']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Civil Engineer,Engineering and Science,£31000,Newcastle,"['Lab Techniques', 'Project Management Software', 'Prototyping']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Systems Analyst,Technology and Data,£30000,Liverpool,"['Big Data Technologies', 'Data Warehousing', 'SQL']",Evaluate and improve computer systems to enhance efficiency.
Graphic Designer,Marketing and Creative,£30000,London,"['Content Creation', 'Analytics', 'Digital Marketing']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Mechanical Engineer,Engineering and Science,£29000,Manchester,"['Statistical Analysis', 'CAD Software', 'Product Development']","Design machinery and equipment, and troubleshoot engineering issues."
Financial Analyst,Finance and Business,£23000,Birmingham,"['Reporting', 'Bookkeeping', 'Financial Modeling']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Event Coordinator,Marketing and Creative,£27000,Sheffield,"['Campaign Management', 'Email Marketing', 'PPC Advertising']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Nurse,Administrative,£29000,Bristol,"['Performance Appraisal Systems', 'Onboarding', 'Recruitment']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Legal Assistant,Administrative,£25000,Liverpool,"['Talent Acquisition', 'Performance Appraisal Systems', 'Organisational Skills']",Provide administrative support to legal teams and assist with legal research and document preparation
Supply Chain Analyst,Finance and Business,£23000,Manchester,"['Financial Modeling', 'Bookkeeping', 'Quantitative Analysis']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Legal Assistant,Administrative,£24000,Birmingham,"['Onboarding', 'Talent Acquisition', 'Communication']",Provide administrative support to legal teams and assist with legal research and document preparation
Research Scientist,Engineering and Science,£27000,Cambridge,"['Data Analysis', 'Research Methodology', 'Product Development']",Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Quantity Surveyor,Engineering and Science,£21000,Nottingham,"['Product Development', 'Engineering Design', 'Statistical Analysis']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Graphic Designer,Marketing and Creative,£25000,Cambridge,"['Content Creation', 'PPC Advertising', 'Analytics']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Operations Manager,Finance and Business,£31000,Cambridge,"['Reporting', 'Financial Analysis', 'Financial Forecasting']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Legal Assistant,Administrative,£24000,Bristol,"['Communication', 'Performance Appraisal Systems', 'Compliance Management']",Provide administrative support to legal teams and assist with legal research and document preparation
Engineering Graduate,Engineering and Science,£35000,London,"['Research Methodology', 'Statistical Analysis', 'Technical Writing']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Human Resources Assistant,Administrative,£21000,Newcastle,"['Communication', 'Performance Appraisal Systems', 'Talent Acquisition']","Support HR functions including recruitment, employee relations, and record-keeping."
Logistics Coordinator,Administrative,£23000,London,"['Organisational Skills', 'Compliance Management', 'Employee Relations']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Health and Safety Advisor,Engineering and Science,£31000,London,"['Lab Techniques', 'Engineering Design', 'CAD Software']",Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Content Writer,Marketing and Creative,£25000,Birmingham,"['Google Analytics', 'Graphic Design', 'PPC Advertising']","Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Systems Analyst,Technology and Data,£28000,Birmingham,"['Data Visualisation', 'Version Control', 'Big Data Technologies']",Evaluate and improve computer systems to enhance efficiency.
Data Scientist,Technology and Data,£25000,Bristol,"['Cloud Computing', 'APIs', 'SQL']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Supply Chain Analyst,Finance and Business,£27000,Cambridge,"['Budgeting', 'Financial Forecasting', 'Market Research']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Marketing Executive,Marketing and Creative,£26000,Cambridge,"['Analytics', 'Social Media Marketing', 'Graphic Design']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Systems Analyst,Technology and Data,£22000,Bristol,"['Python Programming', 'Version Control', 'APIs']",Evaluate and improve computer systems to enhance efficiency.
Financial Analyst,Finance and Business,£25000,London,"['Analytical Skills', 'Business Strategy', 'Bookkeeping']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
IT Support Specialist,Technology and Data,£21000,Leeds,"['Version Control', 'APIs', 'Big Data Technologies']",You will have to provide technical support and troubleshooting for hardware and software issues.
Business Development Executive,Finance and Business,£24000,Manchester,"['Financial Forecasting', 'Budgeting', 'Market Research']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Investment Banking Analyst,Finance and Business,£29000,Sheffield,"['Quantitative Analysis', 'Risk Assessment', 'Financial Reporting']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Content Writer,Marketing and Creative,£25000,Manchester,"['Analytics', 'Content Management Systems', 'Email Marketing']","Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Investment Banking Analyst,Finance and Business,£24000,Bristol,"['Project Management', 'Bookkeeping', 'Business Strategy']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Mechanical Engineer,Engineering and Science,£34000,Leeds,"['Problem Solving', 'Technical Writing', 'Project Management Software']","Design machinery and equipment, and troubleshoot engineering issues."
IT Support Specialist,Technology and Data,£27000,Newcastle,"['Python Programming', 'Machine Learning', 'ETL']",You will have to provide technical support and troubleshooting for hardware and software issues.
Engineering Graduate,Engineering and Science,£35000,Birmingham,"['Finite Element Analysis', 'Simulation Software', 'CAD Software']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Supply Chain Analyst,Finance and Business,£27000,London,"['Excel', 'Financial Reporting', 'Financial Analysis']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Insurance Underwriter,Administrative,£33000,Liverpool,"['Recruitment', 'Onboarding', 'Talent Acquisition']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Recruitment Consultant,Administrative,£20000,Cambridge,"['Conflict Resolution', 'Compliance Management', 'Organisational Skills']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Data Scientist,Technology and Data,£31000,Cambridge,"['Data Warehousing', 'Problem Solving', 'Data Analysis']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Supply Chain Analyst,Finance and Business,£33000,Sheffield,"['Financial Reporting', 'Financial Forecasting', 'Project Management']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Data Analyst,Technology and Data,£34000,Cambridge,"['APIs', 'Machine Learning', 'Python Programming']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Sales Executive,Marketing and Creative,£26000,Liverpool,"['Email Marketing', 'PPC Advertising', 'Content Creation']",Must be able to develop and execute sales strategies to meet business objectives.
Mechanical Engineer,Engineering and Science,£25000,Bristol,"['Problem Solving', 'Simulation Software', 'Project Management Software']","Design machinery and equipment, and troubleshoot engineering issues."
Nurse,Administrative,£34000,Leeds,"['Organisational Skills', 'Conflict Resolution', 'Communication']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Insurance Underwriter,Administrative,£34000,Liverpool,"['Organisational Skills', 'Compliance Management', 'Performance Appraisal Systems']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Content Writer,Marketing and Creative,£24000,Cambridge,"['Brand Strategy', 'Content Management Systems', 'Market Research']","Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Audit Associate,Finance and Business,£32000,Cambridge,"['Bookkeeping', 'Financial Forecasting', 'Analytical Skills']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Social Media Manager,Marketing and Creative,£33000,Leeds,"['Graphic Design', 'User Research', 'Google Analytics']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Systems Analyst,Technology and Data,£22000,Liverpool,"['JavaScript', 'Data Analysis', 'Docker']",Evaluate and improve computer systems to enhance efficiency.
Graphic Designer,Marketing and Creative,£33000,Nottingham,"['Social Media Marketing', 'Campaign Management', 'Graphic Design']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Corporate Finance Analyst,Finance and Business,£25000,Birmingham,"['Risk Assessment', 'Financial Analysis', 'Financial Reporting']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Biomedical Scientist,Engineering and Science,£34000,Newcastle,"['Finite Element Analysis', 'CAD Software', 'Problem Solving']",Conduct research and analyse biological samples to support medical and clinical studies.
Graphic Designer,Marketing and Creative,£31000,Newcastle,"['Graphic Design', 'PPC Advertising', 'Google Analytics']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Research Scientist,Engineering and Science,£26000,Liverpool,"['Regulatory Compliance', 'Technical Writing', 'Engineering Design']",Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Technical Support Engineer,Technology and Data,£33000,London,"['Big Data Technologies', 'Problem Solving', 'Machine Learning']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Logistics Coordinator,Administrative,£21000,Nottingham,"['Communication', 'Conflict Resolution', 'Performance Appraisal Systems']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Teacher,Administrative,£34000,Sheffield,"['Recruitment', 'Talent Acquisition', 'Conflict Resolution']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Financial Analyst,Finance and Business,£23000,Leeds,"['Excel', 'Market Research', 'Regulatory Compliance']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Management Consultant,Administrative,£30000,Birmingham,"['Recruitment', 'Leadership', 'Talent Acquisition']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
UI Designer,Technology and Data,£34000,Birmingham,"['SQL', 'ETL', 'Data Warehousing']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Web Developer,Technology and Data,£28000,Cambridge,"['Data Warehousing', 'Big Data Technologies', 'Machine Learning']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Human Resources Assistant,Administrative,£23000,Liverpool,"['Organisational Skills', 'Performance Appraisal Systems', 'Conflict Resolution']","Support HR functions including recruitment, employee relations, and record-keeping."
Sales Executive,Marketing and Creative,£26000,Newcastle,"['SEO Optimisation', 'User Research', 'Content Creation']",Must be able to develop and execute sales strategies to meet business objectives.
Event Coordinator,Marketing and Creative,£21000,Manchester,"['User Research', 'Digital Marketing', 'Brand Strategy']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Mechanical Engineer,Engineering and Science,£33000,Leeds,"['Project Management Software', 'Regulatory Compliance', 'Engineering Design']","Design machinery and equipment, and troubleshoot engineering issues."
Electrical Engineer,Engineering and Science,£33000,Leeds,"['Problem Solving', 'Simulation Software', 'Mechanical Design']",Design and implement electrical systems and components for working on projects involving power generation and electronics.
Sales Executive,Marketing and Creative,£32000,Sheffield,"['Social Media Marketing', 'PPC Advertising', 'Digital Marketing']",Must be able to develop and execute sales strategies to meet business objectives.
Mechanical Engineer,Engineering and Science,£29000,Nottingham,"['Mechanical Design', 'CAD Software', 'Regulatory Compliance']","Design machinery and equipment, and troubleshoot engineering issues."
Risk Analyst,Finance and Business,£25000,Cambridge,"['Regulatory Compliance', 'Financial Forecasting', 'Financial Modeling']",You must be able to identify and assess potential risks to the organisation.
Software Developer,Technology and Data,£21000,Manchester,"['Problem Solving', 'APIs', 'Django']","Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Supply Chain Analyst,Finance and Business,£20000,Leeds,"['Bookkeeping', 'Business Strategy', 'Analytical Skills']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Teacher,Administrative,£27000,Leeds,"['Office Management', 'Employee Relations', 'Payroll Management']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Logistics Coordinator,Administrative,£22000,Nottingham,"['Compliance Management', 'Onboarding', 'Office Management']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Financial Analyst,Finance and Business,£25000,London,"['Financial Modeling', 'Risk Assessment', 'Budgeting']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Systems Analyst,Technology and Data,£32000,Nottingham,"['Docker', 'JavaScript', 'Data Warehousing']",Evaluate and improve computer systems to enhance efficiency.
Investment Banking Analyst,Finance and Business,£25000,Leeds,"['Bookkeeping', 'Business Strategy', 'Quantitative Analysis']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Web Developer,Technology and Data,£22000,Cambridge,"['JavaScript', 'Cloud Computing', 'Data Warehousing']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Management Consultant,Administrative,£34000,Leeds,"['Conflict Resolution', 'Office Management', 'Communication']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Event Coordinator,Marketing and Creative,£31000,Bristol,"['Analytics', 'Content Creation', 'Adobe Creative Suite']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Nurse,Administrative,£24000,London,"['Training and Development', 'Client Management', 'Leadership']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Business Development Executive,Finance and Business,£27000,Birmingham,"['Project Management', 'Risk Assessment', 'Business Strategy']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Civil Engineer,Engineering and Science,£22000,Nottingham,"['Engineering Design', 'Prototyping', 'Lab Techniques']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Human Resources Assistant,Administrative,£35000,Manchester,"['Leadership', 'Training and Development', 'Organisational Skills']","Support HR functions including recruitment, employee relations, and record-keeping."
Logistics Coordinator,Administrative,£26000,Bristol,"['Office Management', 'Leadership', 'Employee Relations']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Operations Manager,Finance and Business,£29000,Bristol,"['Bookkeeping', 'Budgeting', 'Excel']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Engineering Graduate,Engineering and Science,£21000,Liverpool,"['Prototyping', 'Engineering Design', 'Mechanical Design']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Pharmaceutical Sales Representative,Engineering and Science,£23000,Sheffield,"['Lab Techniques', 'CAD Software', 'Technical Writing']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Web Developer,Technology and Data,£26000,Sheffield,"['SQL', 'JavaScript', 'Data Analysis']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Nurse,Administrative,£26000,Leeds,"['Compliance Management', 'Talent Acquisition', 'Conflict Resolution']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Data Scientist,Technology and Data,£24000,London,"['Data Warehousing', 'Machine Learning', 'Docker']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Web Developer,Technology and Data,£33000,Cambridge,"['Big Data Technologies', 'Problem Solving', 'Python Programming']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Teacher,Administrative,£31000,Liverpool,"['Talent Acquisition', 'Conflict Resolution', 'Client Management']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Logistics Coordinator,Administrative,£35000,Birmingham,"['HR Information Systems', 'Organisational Skills', 'Office Management']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
