JobTitle,JobCategory,Salary,Location,SkillsRequired,JobSummary
Legal Assistant,Administrative,£21000,Bristol,"['Client Management', 'Conflict Resolution', 'Compliance Management']",Provide administrative support to legal teams and assist with legal research and document preparation
Nurse,Administrative,£29000,Sheffield,"['Payroll Management', 'Performance Appraisal Systems', 'Client Management']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Risk Analyst,Finance and Business,£32000,Bristol,"['Reporting', 'Financial Modeling', 'Regulatory Compliance']",You must be able to identify and assess potential risks to the organisation.
Public Relations Officer,Marketing and Creative,£30000,Sheffield,"['SEO Optimisation', 'Analytics', 'Content Management Systems']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Biomedical Scientist,Engineering and Science,£34000,Liverpool,"['Problem Solving', 'Engineering Design', 'Product Development']",Conduct research and analyse biological samples to support medical and clinical studies.
Marketing Executive,Marketing and Creative,£25000,London,"['Brand Strategy', 'Content Creation', 'Graphic Design']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Sales Executive,Marketing and Creative,£31000,Sheffield,"['Digital Marketing', 'Content Creation', 'Brand Strategy']",Must be able to develop and execute sales strategies to meet business objectives.
Financial Analyst,Finance and Business,£32000,Leeds,"['Financial Analysis', 'Reporting', 'Regulatory Compliance']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Content Writer,Marketing and Creative,£25000,London,"['Brand Strategy', 'Analytics', 'Market Research']","Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Engineering Graduate,Engineering and Science,£24000,Liverpool,"['Finite Element Analysis', 'Prototyping', 'Project Management Software']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Logistics Coordinator,Administrative,£21000,Newcastle,"['Training and Development', 'Communication', 'Onboarding']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Quantity Surveyor,Engineering and Science,£34000,Bristol,"['Finite Element Analysis', 'Research Methodology', 'Mechanical Design']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Nurse,Administrative,£32000,Sheffield,"['Recruitment', 'Office Management', 'Onboarding']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Civil Engineer,Engineering and Science,£31000,Cambridge,"['Problem Solving', 'Project Management Software', 'Simulation Software']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Mechanical Engineer,Engineering and Science,£29000,London,"['CAD Software', 'Engineering Design', 'Mechanical Design']","Design machinery and equipment, and troubleshoot engineering issues."
Digital Marketing Specialist,Marketing and Creative,£31000,Cambridge,"['PPC Advertising', 'Graphic Design', 'Social Media Marketing']","Implement digital marketing strategies, including SEO, PPC, and social media."
Engineering Graduate,Engineering and Science,£30000,Manchester,"['Data Analysis', 'Simulation Software', 'Lab Techniques']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Mechanical Engineer,Engineering and Science,£21000,Liverpool,"['Problem Solving', 'Product Development', 'Simulation Software']","Design machinery and equipment, and troubleshoot engineering issues."
Management Consultant,Administrative,£29000,Nottingham,"['Talent Acquisition', 'Compliance Management', 'Payroll Management']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Recruitment Consultant,Administrative,£24000,Cambridge,"['Training and Development', 'HR Information Systems', 'Organisational Skills']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Marketing Executive,Marketing and Creative,£34000,Leeds,"['Content Creation', 'Social Media Marketing', 'Digital Marketing']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Data Scientist,Technology and Data,£32000,Newcastle,"['Python Programming', 'Big Data Technologies', 'Version Control']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Marketing Executive,Marketing and Creative,£27000,Birmingham,"['Graphic Design', 'Content Management Systems', 'Market Research']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Investment Banking Analyst,Finance and Business,£22000,Sheffield,"['Quantitative Analysis', 'Project Management', 'Excel']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Legal Assistant,Administrative,£23000,Birmingham,"['Communication', 'Onboarding', 'Organisational Skills']",Provide administrative support to legal teams and assist with legal research and document preparation
Legal Assistant,Administrative,£27000,Nottingham,"['Conflict Resolution', 'Employee Relations', 'Performance Appraisal Systems']",Provide administrative support to legal teams and assist with legal research and document preparation
Audit Associate,Finance and Business,£27000,Newcastle,"['Excel', 'Business Strategy', 'Budgeting']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Teacher,Administrative,£31000,Liverpool,"['Compliance Management', 'Conflict Resolution', 'Employee Relations']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Engineering Graduate,Engineering and Science,£28000,Nottingham,"['Product Development', 'Statistical Analysis', 'Prototyping']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Quantity Surveyor,Engineering and Science,£35000,Newcastle,"['Prototyping', 'Statistical Analysis', 'Engineering Design']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Event Coordinator,Marketing and Creative,£27000,Bristol,"['Brand Strategy', 'Social Media Marketing', 'Graphic Design']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Financial Analyst,Finance and Business,£25000,Manchester,"['Regulatory Compliance', 'Analytical Skills', 'Project Management']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Content Writer,Marketing and Creative,£30000,London,"['SEO Optimisation', 'Adobe Creative Suite', 'Graphic Design']","Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Web Developer,Technology and Data,£30000,Leeds,"['Machine Learning', 'Data Warehousing', 'Data Visualisation']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Insurance Underwriter,Administrative,£29000,Liverpool,"['Office Management', 'Organisational Skills', 'Onboarding']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Content Writer,Marketing and Creative,£34000,Sheffield,"['PPC Advertising', 'SEO Optimisation', 'Adobe Creative Suite']","Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Marketing Executive,Marketing and Creative,£26000,Manchester,"['Social Media Marketing', 'Brand Strategy', 'Email Marketing']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Biomedical Scientist,Engineering and Science,£23000,Manchester,"['Simulation Software', 'Research Methodology', 'Mechanical Design']",Conduct research and analyse biological samples to support medical and clinical studies.
Recruitment Consultant,Administrative,£34000,Newcastle,"['Communication', 'Recruitment', 'Compliance Management']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Legal Assistant,Administrative,£29000,Newcastle,"['Onboarding', 'Office Management', 'Compliance Management']",Provide administrative support to legal teams and assist with legal research and document preparation
Operations Manager,Finance and Business,£25000,Bristol,"['Analytical Skills', 'Quantitative Analysis', 'Market Research']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Quantity Surveyor,Engineering and Science,£22000,Cambridge,"['Simulation Software', 'Project Management Software', 'Problem Solving']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Content Writer,Marketing and Creative,£22000,Liverpool,"['Adobe Creative Suite', 'Content Management Systems', 'SEO Optimisation']","Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Quantity Surveyor,Engineering and Science,£24000,Bristol,"['Engineering Design', 'Lab Techniques', 'CAD Software']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Civil Engineer,Engineering and Science,£27000,Leeds,"['Simulation Software', 'Product Development', 'Lab Techniques']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
IT Support Specialist,Technology and Data,£21000,Bristol,"['JavaScript', 'Problem Solving', 'SQL']",You will have to provide technical support and troubleshooting for hardware and software issues.
Audit Associate,Finance and Business,£33000,Cambridge,"['Budgeting', 'Quantitative Analysis', 'Analytical Skills']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Product Designer,Marketing and Creative,£26000,Sheffield,"['PPC Advertising', 'Social Media Marketing', 'SEO Optimisation']","Design and develop new products, from concept to production. You will work on product specifications and testing."
Insurance Underwriter,Administrative,£22000,Birmingham,"['Communication', 'Payroll Management', 'Recruitment']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Corporate Finance Analyst,Finance and Business,£21000,Cambridge,"['Financial Modeling', 'Business Strategy', 'Financial Forecasting']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Biomedical Scientist,Engineering and Science,£30000,Sheffield,"['Mechanical Design', 'CAD Software', 'Project Management Software']",Conduct research and analyse biological samples to support medical and clinical studies.
Civil Engineer,Engineering and Science,£30000,Cambridge,"['Lab Techniques', 'Data Analysis', 'Problem Solving']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
UI Designer,Technology and Data,£24000,London,"['Docker', 'Big Data Technologies', 'Problem Solving']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Human Resources Assistant,Administrative,£34000,Birmingham,"['Payroll Management', 'Compliance Management', 'Employee Relations']","Support HR functions including recruitment, employee relations, and record-keeping."
Data Scientist,Technology and Data,£34000,Birmingham,"['Version Control', 'Cloud Computing', 'Machine Learning']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Web Developer,Technology and Data,£32000,Cambridge,"['ETL', 'Python Programming', 'Django']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Data Scientist,Technology and Data,£23000,Liverpool,"['SQL', 'JavaScript', 'ETL']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Public Relations Officer,Marketing and Creative,£28000,Sheffield,"['Digital Marketing', 'Social Media Marketing', 'Content Creation']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Teacher,Administrative,£26000,London,"['Recruitment', 'Talent Acquisition', 'HR Information Systems']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Research Scientist,Engineering and Science,£28000,Sheffield,"['Statistical Analysis', 'Product Development', 'Engineering Design']",Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Graphic Designer,Marketing and Creative,£23000,Cambridge,"['Campaign Management', 'Adobe Creative Suite', 'Social Media Marketing']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Business Analyst,Finance and Business,£33000,Liverpool,"['Market Research', 'Risk Assessment', 'Analytical Skills']",Identify business needs and develop solutions to enhance processes and operations.
Digital Marketing Specialist,Marketing and Creative,£22000,Manchester,"['Email Marketing', 'Market Research', 'Google Analytics']","Implement digital marketing strategies, including SEO, PPC, and social media."
Civil Engineer,Engineering and Science,£29000,Liverpool,"['Lab Techniques', 'Finite Element Analysis', 'Product Development']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Civil Engineer,Engineering and Science,£34000,Bristol,"['Technical Writing', 'Regulatory Compliance', 'Project Management Software']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Social Media Manager,Marketing and Creative,£29000,London,"['PPC Advertising', 'Content Management Systems', 'Brand Strategy']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Pharmaceutical Sales Representative,Engineering and Science,£24000,Bristol,"['Regulatory Compliance', 'Lab Techniques', 'Prototyping']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Customer Service Manager,Administrative,£32000,Bristol,"['Organisational Skills', 'Compliance Management', 'Recruitment']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Mechanical Engineer,Engineering and Science,£25000,Sheffield,"['Mechanical Design', 'Engineering Design', 'Prototyping']","Design machinery and equipment, and troubleshoot engineering issues."
Legal Assistant,Administrative,£26000,Bristol,"['Office Management', 'Talent Acquisition', 'Organisational Skills']",Provide administrative support to legal teams and assist with legal research and document preparation
Civil Engineer,Engineering and Science,£30000,London,"['Lab Techniques', 'Product Development', 'Finite Element Analysis']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Engineering Graduate,Engineering and Science,£24000,Bristol,"['Finite Element Analysis', 'Engineering Design', 'Lab Techniques']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Data Analyst,Technology and Data,£22000,Nottingham,"['Problem Solving', 'ETL', 'Python Programming']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Insurance Underwriter,Administrative,£27000,Sheffield,"['Organisational Skills', 'Office Management', 'Recruitment']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Customer Service Manager,Administrative,£27000,Manchester,"['Training and Development', 'Leadership', 'HR Information Systems']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Risk Analyst,Finance and Business,£27000,Sheffield,"['Financial Forecasting', 'Market Research', 'Risk Assessment']",You must be able to identify and assess potential risks to the organisation.
Corporate Finance Analyst,Finance and Business,£26000,Leeds,"['Analytical Skills', 'Market Research', 'Financial Forecasting']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Mechanical Engineer,Engineering and Science,£20000,Bristol,"['Finite Element Analysis', 'CAD Software', 'Mechanical Design']","Design machinery and equipment, and troubleshoot engineering issues."
Data Analyst,Technology and Data,£21000,Bristol,"['Version Control', 'Python Programming', 'Machine Learning']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Insurance Underwriter,Administrative,£25000,Newcastle,"['Talent Acquisition', 'Employee Relations', 'Leadership']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Logistics Coordinator,Administrative,£27000,Birmingham,"['Leadership', 'Communication', 'Talent Acquisition']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Mechanical Engineer,Engineering and Science,£29000,Newcastle,"['Product Development', 'Technical Writing', 'Research Methodology']","Design machinery and equipment, and troubleshoot engineering issues."
Marketing Executive,Marketing and Creative,£23000,Birmingham,"['Graphic Design', 'Campaign Management', 'User Research']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Management Consultant,Administrative,£28000,Bristol,"['Conflict Resolution', 'Communication', 'Talent Acquisition']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Electrical Engineer,Engineering and Science,£34000,Leeds,"['Finite Element Analysis', 'Prototyping', 'Data Analysis']",Design and implement electrical systems and components for working on projects involving power generation and electronics.
Social Media Manager,Marketing and Creative,£29000,Cambridge,"['Market Research', 'SEO Optimisation', 'Google Analytics']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Data Analyst,Technology and Data,£20000,Birmingham,"['Machine Learning', 'JavaScript', 'Big Data Technologies']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Risk Analyst,Finance and Business,£32000,Cambridge,"['Risk Assessment', 'Bookkeeping', 'Financial Reporting']",You must be able to identify and assess potential risks to the organisation.
Quantity Surveyor,Engineering and Science,£28000,Cambridge,"['Project Management Software', 'Research Methodology', 'Statistical Analysis']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Event Coordinator,Marketing and Creative,£26000,Bristol,"['Campaign Management', 'Email Marketing', 'Graphic Design']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Sales Executive,Marketing and Creative,£20000,Manchester,"['Social Media Marketing', 'Digital Marketing', 'Brand Strategy']",Must be able to develop and execute sales strategies to meet business objectives.
Product Designer,Marketing and Creative,£22000,Manchester,"['Campaign Management', 'PPC Advertising', 'Digital Marketing']","Design and develop new products, from concept to production. You will work on product specifications and testing."
Public Relations Officer,Marketing and Creative,£28000,Birmingham,"['Content Management Systems', 'Analytics', 'User Research']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Human Resources Assistant,Administrative,£34000,Leeds,"['Onboarding', 'Office Management', 'Organisational Skills']","Support HR functions including recruitment, employee relations, and record-keeping."
Data Scientist,Technology and Data,£24000,Liverpool,"['Big Data Technologies', 'Machine Learning', 'Data Visualisation']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Quantity Surveyor,Engineering and Science,£29000,London,"['Data Analysis', 'Technical Writing', 'Research Methodology']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Legal Assistant,Administrative,£26000,Bristol,"['Leadership', 'Talent Acquisition', 'Training and Development']",Provide administrative support to legal teams and assist with legal research and document preparation
Quantity Surveyor,Engineering and Science,£33000,Bristol,"['Prototyping', 'Problem Solving', 'Data Analysis']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
UI Designer,Technology and Data,£28000,Birmingham,"['Data Analysis', 'Problem Solving', 'Cloud Computing']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Electrical Engineer,Engineering and Science,£25000,Manchester,"['Product Development', 'Simulation Software', 'Problem Solving']",Design and implement electrical systems and components for working on projects involving power generation and electronics.
Public Relations Officer,Marketing and Creative,£25000,Bristol,"['Campaign Management', 'User Research', 'PPC Advertising']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Supply Chain Analyst,Finance and Business,£26000,Newcastle,"['Regulatory Compliance', 'Financial Forecasting', 'Project Management']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Web Developer,Technology and Data,£31000,Cambridge,"['Data Warehousing', 'Data Visualisation', 'Big Data Technologies']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
IT Support Specialist,Technology and Data,£22000,Manchester,"['Data Warehousing', 'JavaScript', 'Docker']",You will have to provide technical support and troubleshooting for hardware and software issues.
Technical Support Engineer,Technology and Data,£30000,Birmingham,"['Python Programming', 'Docker', 'Django']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Social Media Manager,Marketing and Creative,£31000,Nottingham,"['Market Research', 'Social Media Marketing', 'Campaign Management']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Graphic Designer,Marketing and Creative,£30000,Sheffield,"['Brand Strategy', 'Analytics', 'Adobe Creative Suite']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Customer Service Manager,Administrative,£26000,Leeds,"['Office Management', 'Training and Development', 'Recruitment']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Event Coordinator,Marketing and Creative,£27000,Cambridge,"['Brand Strategy', 'Content Management Systems', 'Content Creation']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Software Developer,Technology and Data,£27000,Cambridge,"['Machine Learning', 'APIs', 'Problem Solving']","Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Management Consultant,Administrative,£34000,Birmingham,"['Employee Relations', 'Training and Development', 'Recruitment']",Analyse organisational practices and develop strategies to improve efficiency and effectiveness; then be able to provide recommendations for business improvements.
Product Designer,Marketing and Creative,£22000,London,"['PPC Advertising', 'Campaign Management', 'Analytics']","Design and develop new products, from concept to production. You will work on product specifications and testing."
UI Designer,Technology and Data,£28000,Birmingham,"['Data Visualisation', 'Python Programming', 'Docker']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Content Writer,Marketing and Creative,£29000,Sheffield,"['User Research', 'Analytics', 'Market Research']","Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Civil Engineer,Engineering and Science,£21000,Sheffield,"['Data Analysis', 'Statistical Analysis', 'Lab Techniques']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Insurance Underwriter,Administrative,£32000,Leeds,"['Performance Appraisal Systems', 'Compliance Management', 'Client Management']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Technical Support Engineer,Technology and Data,£21000,Liverpool,"['Django', 'Docker', 'Data Analysis']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Data Analyst,Technology and Data,£24000,Liverpool,"['Big Data Technologies', 'Problem Solving', 'APIs']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Health and Safety Advisor,Engineering and Science,£29000,Bristol,"['Mechanical Design', 'Data Analysis', 'Product Development']",Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Quantity Surveyor,Engineering and Science,£29000,Bristol,"['Mechanical Design', 'Regulatory Compliance', 'Technical Writing']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Content Writer,Marketing and Creative,£23000,Sheffield,"['Social Media Marketing', 'Content Creation', 'Analytics']","Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Corporate Finance Analyst,Finance and Business,£29000,Cambridge,"['Reporting', 'Regulatory Compliance', 'Project Management']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Data Scientist,Technology and Data,£29000,Birmingham,"['Machine Learning', 'Data Analysis', 'Python Programming']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Data Scientist,Technology and Data,£22000,Cambridge,"['Docker', 'Big Data Technologies', 'Machine Learning']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Social Media Manager,Marketing and Creative,£32000,Manchester,"['Campaign Management', 'SEO Optimisation', 'Google Analytics']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Public Relations Officer,Marketing and Creative,£26000,Cambridge,"['SEO Optimisation', 'Graphic Design', 'Market Research']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Graphic Designer,Marketing and Creative,£26000,Cambridge,"['Content Management Systems', 'Email Marketing', 'Adobe Creative Suite']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Engineering Graduate,Engineering and Science,£26000,Liverpool,"['Prototyping', 'Data Analysis', 'Technical Writing']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
UI Designer,Technology and Data,£33000,Birmingham,"['Data Analysis', 'Docker', 'Version Control']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Product Designer,Marketing and Creative,£35000,London,"['Google Analytics', 'Market Research', 'Campaign Management']","Design and develop new products, from concept to production. You will work on product specifications and testing."
Teacher,Administrative,£27000,London,"['Organisational Skills', 'Training and Development', 'Compliance Management']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Recruitment Consultant,Administrative,£30000,Bristol,"['Performance Appraisal Systems', 'Training and Development', 'Onboarding']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Event Coordinator,Marketing and Creative,£23000,Leeds,"['Content Management Systems', 'SEO Optimisation', 'Email Marketing']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Content Writer,Marketing and Creative,£31000,Cambridge,"['Adobe Creative Suite', 'Analytics', 'Graphic Design']","Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
