JobTitle,JobCategory,Salary,Location,SkillsRequired,JobSummary
Public Relations Officer,Marketing and Creative,£31000,Newcastle,"['Social Media Marketing', 'User Research', 'Graphic Design']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Data Analyst,Technology and Data,£26000,Sheffield,"['ETL', 'Version Control', 'Python Programming']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Nurse,Administrative,£28000,London,"['Conflict Resolution', 'HR Information Systems', 'Talent Acquisition']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Business Analyst,Finance and Business,£31000,Nottingham,"['Financial Modeling', 'Reporting', 'Budgeting']",Identify business needs and develop solutions to enhance processes and operations.
Software Developer,Technology and Data,£25000,Sheffield,"['Django', 'Data Visualisation', 'SQL']","Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Marketing Executive,Marketing and Creative,£27000,Liverpool,"['Digital Marketing', 'SEO Optimisation', 'Graphic Design']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Content Writer,Marketing and Creative,£30000,Liverpool,"['Content Management Systems', 'PPC Advertising', 'Content Creation']","Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Audit Associate,Finance and Business,£24000,London,"['Financial Analysis', 'Quantitative Analysis', 'Project Management']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Marketing Executive,Marketing and Creative,£25000,Liverpool,"['Content Creation', 'Adobe Creative Suite', 'User Research']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Event Coordinator,Marketing and Creative,£29000,London,"['Adobe Creative Suite', 'PPC Advertising', 'User Research']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Logistics Coordinator,Administrative,£21000,Manchester,"['Organisational Skills', 'Leadership', 'Recruitment']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Software Developer,Technology and Data,£32000,Leeds,"['Big Data Technologies', 'JavaScript', 'Python Programming']","Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Business Development Executive,Finance and Business,£28000,Nottingham,"['Financial Modeling', 'Business Strategy', 'Regulatory Compliance']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Biomedical Scientist,Engineering and Science,£22000,Nottingham,"['Problem Solving', 'Technical Writing', 'Simulation Software']",Conduct research and analyse biological samples to support medical and clinical studies.
Recruitment Consultant,Administrative,£26000,Bristol,"['Office Management', 'Client Management', 'Onboarding']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Recruitment Consultant,Administrative,£28000,Liverpool,"['Recruitment', 'Performance Appraisal Systems', 'HR Information Systems']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Risk Analyst,Finance and Business,£25000,Bristol,"['Budgeting', 'Business Strategy', 'Financial Analysis']",You must be able to identify and assess potential risks to the organisation.
Human Resources Assistant,Administrative,£34000,Cambridge,"['Leadership', 'Performance Appraisal Systems', 'Recruitment']","Support HR functions including recruitment, employee relations, and record-keeping."
Digital Marketing Specialist,Marketing and Creative,£23000,Manchester,"['Brand Strategy', 'Market Research', 'Content Management Systems']","Implement digital marketing strategies, including SEO, PPC, and social media."
Quantity Surveyor,Engineering and Science,£25000,Sheffield,"['Statistical Analysis', 'Research Methodology', 'Lab Techniques']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Operations Manager,Finance and Business,£25000,Nottingham,"['Regulatory Compliance', 'Financial Forecasting', 'Financial Analysis']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Systems Analyst,Technology and Data,£24000,Liverpool,"['APIs', 'Python Programming', 'Machine Learning']",Evaluate and improve computer systems to enhance efficiency.
Digital Marketing Specialist,Marketing and Creative,£22000,London,"['Adobe Creative Suite', 'PPC Advertising', 'Google Analytics']","Implement digital marketing strategies, including SEO, PPC, and social media."
Logistics Coordinator,Administrative,£28000,Nottingham,"['Compliance Management', 'Conflict Resolution', 'Payroll Management']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Investment Banking Analyst,Finance and Business,£27000,Sheffield,"['Financial Reporting', 'Project Management', 'Excel']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Systems Analyst,Technology and Data,£23000,Birmingham,"['APIs', 'Version Control', 'Docker']",Evaluate and improve computer systems to enhance efficiency.
Event Coordinator,Marketing and Creative,£28000,London,"['Brand Strategy', 'PPC Advertising', 'Email Marketing']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Teacher,Administrative,£23000,Newcastle,"['Communication', 'Performance Appraisal Systems', 'Conflict Resolution']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Legal Assistant,Administrative,£34000,Cambridge,"['Employee Relations', 'Training and Development', 'Conflict Resolution']",Provide administrative support to legal teams and assist with legal research and document preparation
Civil Engineer,Engineering and Science,£26000,Manchester,"['Regulatory Compliance', 'Data Analysis', 'Project Management Software']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Legal Assistant,Administrative,£22000,Nottingham,"['Onboarding', 'Client Management', 'Leadership']",Provide administrative support to legal teams and assist with legal research and document preparation
Quantity Surveyor,Engineering and Science,£24000,Nottingham,"['Mechanical Design', 'Finite Element Analysis', 'Research Methodology']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Public Relations Officer,Marketing and Creative,£27000,Bristol,"['Brand Strategy', 'Campaign Management', 'Market Research']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Human Resources Assistant,Administrative,£34000,Nottingham,"['Leadership', 'HR Information Systems', 'Onboarding']","Support HR functions including recruitment, employee relations, and record-keeping."
Systems Analyst,Technology and Data,£24000,Newcastle,"['Big Data Technologies', 'Machine Learning', 'Data Warehousing']",Evaluate and improve computer systems to enhance efficiency.
Digital Marketing Specialist,Marketing and Creative,£21000,London,"['Analytics', 'Graphic Design', 'SEO Optimisation']","Implement digital marketing strategies, including SEO, PPC, and social media."
Research Scientist,Engineering and Science,£27000,Bristol,"['Simulation Software', 'Engineering Design', 'Data Analysis']",Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Systems Analyst,Technology and Data,£20000,Newcastle,"['Django', 'Big Data Technologies', 'Cloud Computing']",Evaluate and improve computer systems to enhance efficiency.
Teacher,Administrative,£20000,Manchester,"['Leadership', 'Payroll Management', 'Client Management']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Financial Analyst,Finance and Business,£28000,Sheffield,"['Quantitative Analysis', 'Excel', 'Financial Modeling']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Marketing Executive,Marketing and Creative,£23000,Newcastle,"['Brand Strategy', 'Analytics', 'Digital Marketing']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Audit Associate,Finance and Business,£25000,Liverpool,"['Risk Assessment', 'Financial Modeling', 'Financial Forecasting']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Systems Analyst,Technology and Data,£27000,Leeds,"['Data Warehousing', 'ETL', 'JavaScript']",Evaluate and improve computer systems to enhance efficiency.
Customer Service Manager,Administrative,£23000,Nottingham,"['Payroll Management', 'Onboarding', 'Compliance Management']",Oversee customer service operations to ensure high customer satisfaction. Manage customer service teams and resolve escalated issues.
Civil Engineer,Engineering and Science,£23000,Bristol,"['Product Development', 'Finite Element Analysis', 'Prototyping']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Engineering Graduate,Engineering and Science,£32000,Bristol,"['Finite Element Analysis', 'Data Analysis', 'Engineering Design']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Business Analyst,Finance and Business,£34000,Liverpool,"['Financial Modeling', 'Financial Reporting', 'Reporting']",Identify business needs and develop solutions to enhance processes and operations.
IT Support Specialist,Technology and Data,£21000,London,"['SQL', 'Data Visualisation', 'Machine Learning']",You will have to provide technical support and troubleshooting for hardware and software issues.
Logistics Coordinator,Administrative,£30000,London,"['Conflict Resolution', 'Training and Development', 'Compliance Management']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Civil Engineer,Engineering and Science,£23000,Cambridge,"['Problem Solving', 'Product Development', 'Regulatory Compliance']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Business Development Executive,Finance and Business,£21000,Birmingham,"['Regulatory Compliance', 'Analytical Skills', 'Quantitative Analysis']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Human Resources Assistant,Administrative,£21000,London,"['Recruitment', 'HR Information Systems', 'Onboarding']","Support HR functions including recruitment, employee relations, and record-keeping."
Investment Banking Analyst,Finance and Business,£30000,Manchester,"['Analytical Skills', 'Regulatory Compliance', 'Financial Analysis']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Quantity Surveyor,Engineering and Science,£32000,Cambridge,"['Mechanical Design', 'Research Methodology', 'Statistical Analysis']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Supply Chain Analyst,Finance and Business,£34000,Newcastle,"['Financial Forecasting', 'Risk Assessment', 'Quantitative Analysis']",You will be asked to analyse and optimise supply chain processes to improve efficiency and reduce costs.
Nurse,Administrative,£29000,Manchester,"['Payroll Management', 'Recruitment', 'Leadership']","Provide medical care and support to patients. Duties include conducting medical assessments, administering treatments, and collaborating with healthcare professionals."
Teacher,Administrative,£29000,Bristol,"['Training and Development', 'Talent Acquisition', 'Performance Appraisal Systems']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Human Resources Assistant,Administrative,£26000,London,"['Organisational Skills', 'Employee Relations', 'Leadership']","Support HR functions including recruitment, employee relations, and record-keeping."
Engineering Graduate,Engineering and Science,£20000,Nottingham,"['Project Management Software', 'Engineering Design', 'Technical Writing']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Business Analyst,Finance and Business,£22000,Leeds,"['Quantitative Analysis', 'Business Strategy', 'Financial Analysis']",Identify business needs and develop solutions to enhance processes and operations.
Legal Assistant,Administrative,£28000,Newcastle,"['Leadership', 'Communication', 'Training and Development']",Provide administrative support to legal teams and assist with legal research and document preparation
Graphic Designer,Marketing and Creative,£34000,Liverpool,"['Content Management Systems', 'SEO Optimisation', 'PPC Advertising']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Data Analyst,Technology and Data,£29000,Leeds,"['Problem Solving', 'ETL', 'Python Programming']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Audit Associate,Finance and Business,£24000,Nottingham,"['Business Strategy', 'Market Research', 'Analytical Skills']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Systems Analyst,Technology and Data,£23000,London,"['Data Visualisation', 'Data Warehousing', 'Problem Solving']",Evaluate and improve computer systems to enhance efficiency.
Financial Analyst,Finance and Business,£25000,Newcastle,"['Market Research', 'Quantitative Analysis', 'Financial Modeling']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Pharmaceutical Sales Representative,Engineering and Science,£27000,Leeds,"['Data Analysis', 'Research Methodology', 'Technical Writing']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Operations Manager,Finance and Business,£34000,Leeds,"['Market Research', 'Excel', 'Risk Assessment']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Mechanical Engineer,Engineering and Science,£25000,Manchester,"['Simulation Software', 'Project Management Software', 'Problem Solving']","Design machinery and equipment, and troubleshoot engineering issues."
Content Writer,Marketing and Creative,£32000,Bristol,"['SEO Optimisation', 'Market Research', 'PPC Advertising']","Create engaging written content for various platforms, including blogs, websites, and various social media platforms."
Teacher,Administrative,£29000,Nottingham,"['Office Management', 'Training and Development', 'Payroll Management']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Marketing Executive,Marketing and Creative,£29000,Sheffield,"['PPC Advertising', 'Google Analytics', 'Adobe Creative Suite']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Teacher,Administrative,£20000,Sheffield,"['Leadership', 'Conflict Resolution', 'Onboarding']","Plan and deliver educational lessons to students. You will develop lesson plans, assess student performance, and provide effective feedback."
Recruitment Consultant,Administrative,£34000,Sheffield,"['Talent Acquisition', 'Leadership', 'Organisational Skills']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Investment Banking Analyst,Finance and Business,£21000,Liverpool,"['Bookkeeping', 'Financial Reporting', 'Budgeting']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Web Developer,Technology and Data,£23000,Manchester,"['Data Visualisation', 'Docker', 'Version Control']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Marketing Executive,Marketing and Creative,£26000,Liverpool,"['Content Management Systems', 'Content Creation', 'Brand Strategy']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Biomedical Scientist,Engineering and Science,£25000,Nottingham,"['Regulatory Compliance', 'Lab Techniques', 'Mechanical Design']",Conduct research and analyse biological samples to support medical and clinical studies.
Mechanical Engineer,Engineering and Science,£29000,Leeds,"['Mechanical Design', 'Technical Writing', 'Simulation Software']","Design machinery and equipment, and troubleshoot engineering issues."
Data Analyst,Technology and Data,£25000,Liverpool,"['APIs', 'Data Analysis', 'SQL']","Analyse and interpret complex data sets to help organisations make informed decisions, utilising tools like SQL and other data sorting software."
Business Analyst,Finance and Business,£21000,Manchester,"['Regulatory Compliance', 'Financial Reporting', 'Bookkeeping']",Identify business needs and develop solutions to enhance processes and operations.
Logistics Coordinator,Administrative,£34000,Sheffield,"['Onboarding', 'Communication', 'Compliance Management']",Manage logistics and supply chain operations through coordinating shipments and tracking inventory.
Operations Manager,Finance and Business,£27000,Sheffield,"['Budgeting', 'Project Management', 'Analytical Skills']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Corporate Finance Analyst,Finance and Business,£26000,Sheffield,"['Quantitative Analysis', 'Financial Analysis', 'Business Strategy']","Support corporate finance activities including budgeting, forecasting, and financial planning."
Technical Support Engineer,Technology and Data,£21000,Birmingham,"['APIs', 'Django', 'Data Visualisation']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Research Scientist,Engineering and Science,£21000,Sheffield,"['Prototyping', 'Mechanical Design', 'Technical Writing']",Conduct experiments and analyse data to advance scientific knowledge. You must be specialised in areas such as biology or physics.
Civil Engineer,Engineering and Science,£31000,Liverpool,"['Technical Writing', 'Data Analysis', 'Project Management Software']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Public Relations Officer,Marketing and Creative,£31000,London,"['Content Creation', 'Analytics', 'SEO Optimisation']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Graphic Designer,Marketing and Creative,£35000,Newcastle,"['Content Creation', 'Digital Marketing', 'Google Analytics']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Business Development Executive,Finance and Business,£29000,Nottingham,"['Financial Forecasting', 'Market Research', 'Business Strategy']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Quantity Surveyor,Engineering and Science,£29000,Sheffield,"['CAD Software', 'Finite Element Analysis', 'Mechanical Design']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Marketing Executive,Marketing and Creative,£21000,London,"['Social Media Marketing', 'Google Analytics', 'User Research']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Operations Manager,Finance and Business,£35000,Manchester,"['Bookkeeping', 'Financial Modeling', 'Risk Assessment']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Human Resources Assistant,Administrative,£28000,Nottingham,"['Performance Appraisal Systems', 'Recruitment', 'Conflict Resolution']","Support HR functions including recruitment, employee relations, and record-keeping."
Marketing Executive,Marketing and Creative,£22000,London,"['Campaign Management', 'Market Research', 'Email Marketing']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Pharmaceutical Sales Representative,Engineering and Science,£32000,Liverpool,"['Technical Writing', 'Project Management Software', 'CAD Software']",Promote and sell pharmaceutical products to healthcare professionals by providing product information and building relationships with clients.
Insurance Underwriter,Administrative,£29000,Newcastle,"['HR Information Systems', 'Onboarding', 'Recruitment']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Digital Marketing Specialist,Marketing and Creative,£29000,London,"['Campaign Management', 'Brand Strategy', 'SEO Optimisation']","Implement digital marketing strategies, including SEO, PPC, and social media."
Quantity Surveyor,Engineering and Science,£35000,Leeds,"['Project Management Software', 'Lab Techniques', 'CAD Software']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
Engineering Graduate,Engineering and Science,£22000,Bristol,"['Project Management Software', 'Research Methodology', 'CAD Software']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Operations Manager,Finance and Business,£27000,Leeds,"['Financial Reporting', 'Business Strategy', 'Financial Forecasting']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
UI Designer,Technology and Data,£30000,Nottingham,"['SQL', 'Data Visualisation', 'Problem Solving']","Create user-friendly interfaces and enhance user experience for websites and applications, expertise in design tools like Sketch and Adobe XD is necessaary."
Investment Banking Analyst,Finance and Business,£23000,Cambridge,"['Financial Forecasting', 'Risk Assessment', 'Analytical Skills']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Social Media Manager,Marketing and Creative,£30000,Newcastle,"['PPC Advertising', 'Analytics', 'Adobe Creative Suite']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Operations Manager,Finance and Business,£22000,Liverpool,"['Market Research', 'Project Management', 'Analytical Skills']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Financial Analyst,Finance and Business,£30000,Sheffield,"['Regulatory Compliance', 'Business Strategy', 'Financial Analysis']","Analyse financial data and create reports to support business decisions, and then develop financial models and forecasts to assess performance."
Public Relations Officer,Marketing and Creative,£27000,Bristol,"['Email Marketing', 'Brand Strategy', 'User Research']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Business Development Executive,Finance and Business,£21000,Sheffield,"['Project Management', 'Risk Assessment', 'Quantitative Analysis']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Audit Associate,Finance and Business,£32000,Leeds,"['Quantitative Analysis', 'Excel', 'Business Strategy']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Business Development Executive,Finance and Business,£32000,Birmingham,"['Financial Modeling', 'Excel', 'Business Strategy']","Identify and develop new business opportunities to drive growth, and build relationships with clients and partners to expand the business."
Audit Associate,Finance and Business,£30000,Newcastle,"['Risk Assessment', 'Budgeting', 'Bookkeeping']",Perform internal audits to ensure compliance with regulations and standards. You will also be able to review financial records and assess internal controls.
Recruitment Consultant,Administrative,£33000,Birmingham,"['Talent Acquisition', 'Office Management', 'Onboarding']","Manage the recruitment process to attract and hire top talent. Develop job descriptions, screen candidates, and conduct interviews."
Investment Banking Analyst,Finance and Business,£29000,Sheffield,"['Market Research', 'Project Management', 'Business Strategy']",You will assist in the evaluation of investment opportunities and financial transactions. You must also be proficient in conducting market research and financial modeling.
Human Resources Assistant,Administrative,£21000,London,"['Performance Appraisal Systems', 'Office Management', 'Employee Relations']","Support HR functions including recruitment, employee relations, and record-keeping."
Data Scientist,Technology and Data,£30000,Birmingham,"['Problem Solving', 'Data Visualisation', 'Version Control']",Apply statistical analysis and machine learning techniques to interpret data and provide actionable insights. Experience with tools such as Python and R is preferred.
Public Relations Officer,Marketing and Creative,£27000,London,"['Social Media Marketing', 'Content Management Systems', 'Campaign Management']",Manage public relations activities to promote and protect the organisation's image with varying strategies.
Sales Executive,Marketing and Creative,£29000,Birmingham,"['Adobe Creative Suite', 'Analytics', 'Graphic Design']",Must be able to develop and execute sales strategies to meet business objectives.
IT Support Specialist,Technology and Data,£28000,Birmingham,"['Cloud Computing', 'Python Programming', 'Django']",You will have to provide technical support and troubleshooting for hardware and software issues.
Systems Analyst,Technology and Data,£32000,Cambridge,"['Cloud Computing', 'Version Control', 'Data Analysis']",Evaluate and improve computer systems to enhance efficiency.
Insurance Underwriter,Administrative,£22000,Leeds,"['Employee Relations', 'Payroll Management', 'Onboarding']",Evaluate insurance applications and determine coverage terms. Assess risk factors and decide on policy approval and pricing.
Technical Support Engineer,Technology and Data,£24000,Sheffield,"['Django', 'Data Visualisation', 'SQL']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
